TITLE,PRICE,STATUS,REVIEWS,LINK
Celular Motorola G13 Dual Sim 128/4gb Azul Auricular Regalo,$239.99917% OFF,,5.0,https://articulo.mercadolibre.com.ar/MLA-1428001338-celular-motorola-g13-dual-sim-1284gb-azul-auricular-regalo-_JM?searchVariation=178496713689#searchVariation=178496713689&position=13&search_layout=stack&type=item&tracking_id=700431b8-5563-4f3a-b0d5-ba62cee017ed
 Moto G13 128 GB  gris oxford 4 GB RAM,$249.999,Disponible en 3 colores,4.7,https://www.mercadolibre.com.ar/moto-g13-128-gb-gris-oxford-4-gb-ram/p/MLA22271342?pdp_filters=category:MLA1055#searchVariation=MLA22271342&position=4&search_layout=stack&type=product&tracking_id=700431b8-5563-4f3a-b0d5-ba62cee017ed
Celular Motorola Moto G13 128/4gb Gris Nuevo Gtía Alclick,$249.99913% OFF,,,https://articulo.mercadolibre.com.ar/MLA-1481628724-celular-motorola-moto-g13-1284gb-gris-nuevo-gtia-alclick-_JM?searchVariation=179575760755#searchVariation=179575760755&position=11&search_layout=stack&type=item&tracking_id=700431b8-5563-4f3a-b0d5-ba62cee017ed
Celular Motorola Moto G13 64gb 4gb Ram,$249.99934% OFF,Disponible en 2 colores,4.4,https://articulo.mercadolibre.com.ar/MLA-1379987787-celular-motorola-moto-g13-64gb-4gb-ram-_JM?searchVariation=179181031025#searchVariation=179181031025&position=12&search_layout=stack&type=item&tracking_id=700431b8-5563-4f3a-b0d5-ba62cee017ed
 Moto G13 Dual SIM 128 GB  gris oxford 4 GB RAM,$269.999,Disponible en 3 colores,4.7,https://www.mercadolibre.com.ar/moto-g13-dual-sim-128-gb-gris-oxford-4-gb-ram/p/MLA22271350?pdp_filters=category:MLA1055#searchVariation=MLA22271350&position=6&search_layout=stack&type=product&tracking_id=700431b8-5563-4f3a-b0d5-ba62cee017ed
Moto G13 Dual Sim 128gb 4gb Ram + Cargador Original + Funda,$269.999,,,https://articulo.mercadolibre.com.ar/MLA-1400325397-moto-g13-dual-sim-128gb-4gb-ram-cargador-original-funda-_JM?searchVariation=181225597557#searchVariation=181225597557&position=8&search_layout=stack&type=item&tracking_id=700431b8-5563-4f3a-b0d5-ba62cee017ed
Motorola Moto G13 128gb Rosa Suave 4gb Ram - Personal,$270.00010% OFF,,,https://articulo.mercadolibre.com.ar/MLA-1399623183-motorola-moto-g13-128gb-rosa-suave-4gb-ram-personal-_JM?searchVariation=179494655010#searchVariation=179494655010&position=26&search_layout=stack&type=item&tracking_id=700431b8-5563-4f3a-b0d5-ba62cee017ed
Celular Motorola G13 Dual Sim 128/4gb Azul Accesorio Regalo,$289.999,,5.0,https://articulo.mercadolibre.com.ar/MLA-1371840501-celular-motorola-g13-dual-sim-1284gb-azul-accesorio-regalo-_JM?searchVariation=178496726467#searchVariation=178496726467&position=17&search_layout=stack&type=item&tracking_id=700431b8-5563-4f3a-b0d5-ba62cee017ed
Moto G13 64gb 4gb Ram Gris Motorola Smartphone - Rex,$295.757,,,https://articulo.mercadolibre.com.ar/MLA-1444467266-moto-g13-64gb-4gb-ram-gris-motorola-smartphone-rex-_JM?searchVariation=178148312878#searchVariation=178148312878&position=20&search_layout=stack&type=item&tracking_id=700431b8-5563-4f3a-b0d5-ba62cee017ed
Moto G13 64gb 4gb Ram Rosa Motorola Smartphone - Rex,$306.704,,,https://articulo.mercadolibre.com.ar/MLA-1376032747-moto-g13-64gb-4gb-ram-rosa-motorola-smartphone-rex-_JM?searchVariation=178148265872#searchVariation=178148265872&position=19&search_layout=stack&type=item&tracking_id=700431b8-5563-4f3a-b0d5-ba62cee017ed
Motorola Moto G13 128gb Rosa Suave 4gb Ram - Personal,$333.00010% OFF,,,https://articulo.mercadolibre.com.ar/MLA-1606386122-motorola-moto-g13-128gb-rosa-suave-4gb-ram-personal-_JM?searchVariation=181142975517#searchVariation=181142975517&position=25&search_layout=stack&type=item&tracking_id=700431b8-5563-4f3a-b0d5-ba62cee017ed
Moto G13 64gb 4gb Ram Gris Motorola Smartphone Rex,$341.224,,,https://articulo.mercadolibre.com.ar/MLA-1444365458-moto-g13-64gb-4gb-ram-gris-motorola-smartphone-rex-_JM?searchVariation=178148351736#searchVariation=178148351736&position=16&search_layout=stack&type=item&tracking_id=700431b8-5563-4f3a-b0d5-ba62cee017ed
Celular Motorola G13 ,$350.000,,,https://articulo.mercadolibre.com.ar/MLA-1402115079-celular-motorola-g13-_JM?searchVariation=179658581612#searchVariation=179658581612&position=36&search_layout=stack&type=item&tracking_id=700431b8-5563-4f3a-b0d5-ba62cee017ed
Moto G13 64gb 4gb Ram Rosa Motorola Smartphone Rex,$363.780,,,https://articulo.mercadolibre.com.ar/MLA-1376021023-moto-g13-64gb-4gb-ram-rosa-motorola-smartphone-rex-_JM?searchVariation=178148341578#searchVariation=178148341578&position=10&search_layout=stack&type=item&tracking_id=700431b8-5563-4f3a-b0d5-ba62cee017ed
Celular Motorola Moto G13 64gb 4gb Ram Bidcom,$394.99935% OFF,Disponible en 2 colores,,https://articulo.mercadolibre.com.ar/MLA-1379963753-celular-motorola-moto-g13-64gb-4gb-ram-bidcom-_JM?searchVariation=179180786017#searchVariation=179180786017&position=14&search_layout=stack&type=item&tracking_id=700431b8-5563-4f3a-b0d5-ba62cee017ed
